"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S4_S1"
"03/20/2023 11:20:51:723 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","60",,,,,,"60",,,,,,"60",,,,,,"60",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"distance-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","154284","46","34","221097.79999998107","34","39","262766","40","42","200070.20000001084","40","37.8","297400","41","42","236829.7999999993","39","38.2","239554","41","40","278024.99999994057","39","41.8"
"[min]","0","39","34","0","34","38.8","0","33","36","0","29","37.8","0","27","36","0","28","38.2","0","39","36","0","36","41.4"
"[max]","154284","46","39","221097.79999998107","41","42","262766","51","44","200070.20000001084","42","42","297400","52","45","236829.7999999993","43","42","239554","44","42","278024.99999994057","41","42.2"
"[mean]","82770.9075","41.51","36.8225","115993.59659999475","38.49","40.306900000000084","131337.978","40.898","42.4205","105824.16840000404","38.4255","39.46129999999964","150465.986","41.3335","42.5415","122673.38840000168","37.8625","39.81230000000008","118657.08","40.0675","40.8285","139381.60399998788","39.9325","41.80010000000126"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","46","36","0","34","42","0","51","36","0","29","42","0","52","36","0","28","42","0","44","36","0","36","42"
,"276","46","37","408","34","41.8","306","51","37","348","29","41.8","312","52","37","336","28","41.8","264","44","37","432","36","41.8"
,"276","46","37","408","34","41.8","306","49","37","348","31","41.8","312","50","37","336","30","41.8","264","42","37","432","38","41.8"
,"332","46","37","478.80000000000007","34","41.8","362","49","37","442.4000000000001","31","41.8","417","50","37","442.2000000000001","30","41.8","313","42","37","526.3999999999999","38","41.8"
,"360","46","37","573.1999999999997","34","41.8","404","49","37","466.0000000000001","31","41.8","459","50","37","477.60000000000014","30","41.8","355","42","37","644.3999999999994","38","41.8"
,"507","46","37","702.9999999999992","34","41.8","530","49","37","619.3999999999996","31","41.8","634","50","37","666.3999999999994","30","41.8","488","42","37","785.9999999999989","38","41.8"
,"591","46","37","785.5999999999989","34","41.8","621","49","37","713.7999999999993","31","41.8","732","50","37","737.1999999999991","30","41.8","523","42","37","915.7999999999984","38","41.8"
,"738","46","37","1045.199999999998","34","41.8","803","49","37","926.1999999999985","31","41.8","914","50","37","937.7999999999984","30","41.8","698","42","37","1187.1999999999973","38","41.8"
,"738","46","37","1045.199999999998","34","41.8","803","49","37","926.1999999999985","31","41.8","914","50","37","937.7999999999984","30","41.8","698","42","37","1187.1999999999973","38","41.8"
,"885","46","37","1174.9999999999975","34","41.8","929","49","37","1079.5999999999979","31","41.8","1089","50","37","1126.5999999999976","30","41.8","831","42","37","1328.7999999999968","38","41.8"
,"913","46","37","1269.3999999999971","34","41.8","971","49","37","1103.1999999999978","31","41.8","1131","50","37","1161.9999999999975","30","41.8","873","42","37","1446.7999999999963","38","41.8"
,"1053","46","37","1422.7999999999965","34","41.8","1118","49","37","1291.999999999997","31","41.8","1334","50","37","1338.9999999999968","30","41.8","957","42","37","1670.9999999999955","38","41.8"
,"1053","46","36","1422.7999999999965","34","41.8","1118","49","36","1291.999999999997","31","41.8","1334","50","36","1338.9999999999968","30","41.8","957","42","36","1670.9999999999955","38","41.8"
,"1257","46","36","1741.3999999999953","34","41.8","1340","50","36","1551.599999999996","30","41.8","1556","51","36","1610.3999999999958","29","41.8","1179","43","36","1989.5999999999942","37","41.8"
,"1257","46","36","1741.3999999999953","34","41.8","1340","50","36","1551.599999999996","30","41.8","1556","51","36","1610.3999999999958","29","41.8","1179","43","36","1989.5999999999942","37","41.8"
,"1305","46","36","1812.199999999995","34","41.8","1388","50","36","1645.9999999999957","30","41.8","1646","51","36","1716.5999999999954","29","41.8","1221","43","36","2083.999999999995","37","41.8"
,"1401","46","36","1989.1999999999944","34","41.8","1502","50","36","1763.9999999999952","30","41.8","1766","51","36","1822.799999999995","29","41.8","1293","43","36","2319.9999999999986","37","41.8"
,"1527","46","36","2118.999999999996","34","41.8","1610","50","36","1917.3999999999946","30","41.8","1922","51","36","1999.7999999999943","29","41.8","1407","43","36","2461.600000000001","37","41.8"
,"1527","46","36","2118.999999999996","34","41.8","1610","50","36","1917.3999999999946","30","41.8","1922","51","36","1999.7999999999943","29","41.8","1407","43","36","2461.600000000001","37","41.8"
,"1653","46","36","2378.6","34","41.8","1772","50","36","2117.999999999996","30","41.8","2078","51","36","2200.399999999997","29","41.8","1557","43","36","2733.000000000005","37","41.8"
,"1653","46","36","2378.6","34","41.8","1772","50","36","2117.999999999996","30","41.8","2078","51","36","2200.399999999997","29","41.8","1557","43","36","2733.000000000005","37","41.8"
,"1851","46","36","2591.000000000003","34","41.8","1958","50","36","2365.7999999999997","30","41.8","2318","51","36","2448.2000000000007","29","41.8","1707","43","36","2992.600000000009","37","41.8"
,"1875","46","36","2685.4000000000046","34","41.8","1994","50","36","2389.4","30","41.8","2354","51","36","2483.6000000000013","29","41.8","1743","43","36","3110.600000000011","37","41.8"
,"1923","46","37","2756.2000000000057","34","41.8","2042","50","37","2483.8000000000015","30","41.8","2444","51","37","2589.800000000003","29","41.8","1785","43","37","3205.0000000000123","37","41.8"
,"1923","46","37","2756.2000000000057","34","41.8","2042","49","37","2483.8000000000015","31","41.8","2444","50","37","2589.800000000003","30","41.8","1785","42","37","3205.0000000000123","38","41.8"
,"2161","46","37","3074.8000000000106","34","41.8","2294","49","37","2755.2000000000057","31","41.8","2696","50","37","2873.0000000000073","30","41.8","2044","42","37","3523.600000000017","38","41.8"
,"2245","46","37","3157.400000000012","34","41.8","2385","49","37","2849.600000000007","31","41.8","2794","50","37","2943.8000000000084","30","41.8","2079","42","37","3653.400000000019","38","41.8"
,"2301","46","37","3228.200000000013","34","41.8","2441","49","37","2944.0000000000086","31","41.8","2899","50","37","3050.00000000001","30","41.8","2128","42","37","3747.8000000000206","38","41.8"
,"2329","46","37","3322.6000000000145","34","41.8","2483","49","37","2967.600000000009","31","41.8","2941","50","37","3085.4000000000106","30","41.8","2170","42","37","3865.8000000000225","38","41.8"
,"2476","46","37","3452.4000000000165","34","41.8","2609","49","37","3121.0000000000114","31","41.8","3116","50","37","3274.2000000000135","30","41.8","2303","42","37","4007.4000000000246","38","41.8"
,"2476","46","37","3452.4000000000165","34","41.8","2609","49","37","3121.0000000000114","31","41.8","3116","50","37","3274.2000000000135","30","41.8","2303","42","37","4007.4000000000246","38","41.8"
,"2707","46","37","3794.6000000000217","34","41.8","2882","49","37","3427.800000000016","31","41.8","3396","50","37","3545.6000000000176","30","41.8","2513","42","37","4408.60000000003","38","41.8"
,"2707","46","37","3794.6000000000217","34","41.8","2882","49","37","3427.800000000016","31","41.8","3396","50","37","3545.6000000000176","30","41.8","2513","42","37","4408.60000000003","38","41.8"
,"2854","46","37","3924.4000000000237","34","41.8","3008","49","37","3581.2000000000185","31","41.8","3571","50","37","3734.4000000000206","30","41.8","2646","42","37","4550.200000000033","38","41.8"
,"2882","46","38","4018.800000000025","34","41.8","3050","49","38","3604.800000000019","31","41.8","3613","50","38","3769.800000000021","30","41.8","2688","42","38","4668.200000000034","38","41.8"
,"2946","43","38","4089.600000000026","37","41.8","3114","47","38","3699.2000000000203","33","41.8","3733","49","38","3876.0000000000227","31","41.8","2744","42","38","4762.600000000036","38","41.8"
