"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S4_S1_price_2"
"03/21/2023 20:34:56:977 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","60",,,,,,"60",,,,,,"60",,,,,,"60",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"distance-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","175917","40","36","229874.40000000966","40","39","168672","44","34","224945.19999997702","36","39","180327","41","38","262228.99999997864","39","40.6","218008","41","38","282316.79999995744","39","40.6"
"[min]","0","39","34","0","30","39","0","38","34","0","35","38.8","0","38","36","0","30","40.2","0","37","36","0","34","40.2"
"[max]","175917","50","39","229874.40000000966","41","42","168672","45","39","224945.19999997702","42","42","180327","50","40","262228.99999997864","42","42","218008","46","40","282316.79999995744","43","42"
"[mean]","93674.1355","41.5765","37.2595","119826.66940000076","38.4235","40.3922999999995","90541.5265","40.3495","36.8225","117892.9221999937","39.6505","40.306900000000084","92594.859","40.4395","38.6205","132300.05519998618","39.5605","40.96670000000031","111311.8785","40.361","38.6425","143124.29779998088","39.639","40.96670000000031"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","50","36","0","30","42","0","45","36","0","35","42","0","50","36","0","30","42","0","46","36","0","34","42"
,"300","50","37","360","30","41.8","270","45","37","420","35","41.8","300","50","37","360","30","41.8","276","46","37","408","34","41.8"
,"300","47","37","360","33","41.8","270","44","37","420","36","41.8","300","49","37","360","31","41.8","276","45","37","408","35","41.8"
,"370","47","37","407.20000000000005","33","41.8","354","44","37","490.80000000000007","36","41.8","349","49","37","430.80000000000007","31","41.8","388","45","37","537.7999999999998","35","41.8"
,"440","47","37","536.9999999999999","33","41.8","403","44","37","573.3999999999997","36","41.8","398","49","37","536.9999999999999","31","41.8","423","45","37","620.3999999999995","35","41.8"
,"587","47","37","666.7999999999994","33","41.8","550","44","37","714.9999999999992","36","41.8","545","49","37","678.5999999999993","31","41.8","570","45","37","809.1999999999988","35","41.8"
,"622","47","37","713.9999999999992","33","41.8","599","44","37","797.5999999999989","36","41.8","629","49","37","713.9999999999992","31","41.8","626","45","37","856.3999999999986","35","41.8"
,"839","47","37","973.5999999999982","33","41.8","795","44","37","1068.999999999998","36","41.8","790","49","37","973.5999999999982","31","41.8","850","45","37","1163.1999999999975","35","41.8"
,"839","47","37","973.5999999999982","33","41.8","795","44","37","1068.999999999998","36","41.8","790","49","37","973.5999999999982","31","41.8","850","45","37","1163.1999999999975","35","41.8"
,"986","47","37","1103.3999999999978","33","41.8","942","44","37","1210.5999999999974","36","41.8","937","49","37","1115.1999999999978","31","41.8","997","45","37","1351.9999999999968","35","41.8"
,"1056","47","37","1233.1999999999973","33","41.8","991","44","37","1293.199999999997","36","41.8","986","49","37","1221.3999999999974","31","41.8","1032","45","37","1434.5999999999965","35","41.8"
,"1161","47","37","1327.599999999997","33","41.8","1124","44","37","1446.5999999999965","36","41.8","1119","49","37","1327.599999999997","31","41.8","1200","45","37","1611.5999999999958","35","41.8"
,"1161","47","36","1327.599999999997","33","41.8","1124","44","36","1446.5999999999965","36","41.8","1119","49","36","1327.599999999997","31","41.8","1200","45","36","1611.5999999999958","35","41.8"
,"1425","49","36","1646.1999999999957","31","41.8","1352","45","36","1776.9999999999952","35","41.8","1347","50","36","1646.1999999999957","30","41.8","1422","46","36","1977.3999999999944","34","41.8"
,"1425","49","36","1646.1999999999957","31","41.8","1352","45","36","1776.9999999999952","35","41.8","1347","50","36","1646.1999999999957","30","41.8","1422","46","36","1977.3999999999944","34","41.8"
,"1485","49","36","1693.3999999999955","31","41.8","1430","45","36","1835.999999999995","35","41.8","1395","50","36","1705.1999999999955","30","41.8","1518","46","36","2107.1999999999957","34","41.8"
,"1575","49","36","1870.3999999999949","31","41.8","1514","45","36","2001.1999999999944","35","41.8","1509","50","36","1846.799999999995","30","41.8","1602","46","36","2225.1999999999975","34","41.8"
,"1707","49","36","1988.3999999999944","31","41.8","1646","45","36","2130.999999999996","35","41.8","1641","50","36","1976.5999999999945","30","41.8","1728","46","36","2414.0000000000005","34","41.8"
,"1707","49","36","1988.3999999999944","31","41.8","1646","45","36","2130.999999999996","35","41.8","1641","50","36","1976.5999999999945","30","41.8","1728","46","36","2414.0000000000005","34","41.8"
,"1899","49","36","2236.1999999999975","31","41.8","1820","45","36","2390.6","35","41.8","1785","50","36","2224.3999999999974","30","41.8","1920","46","36","2720.800000000005","34","41.8"
,"1899","49","36","2236.1999999999975","31","41.8","1820","45","36","2390.6","35","41.8","1785","50","36","2224.3999999999974","30","41.8","1920","46","36","2720.800000000005","34","41.8"
,"2061","49","36","2401.4","31","41.8","1994","45","36","2603.000000000003","35","41.8","1989","50","36","2389.6","30","41.8","2100","46","36","2945.0000000000086","34","41.8"
,"2121","49","36","2531.200000000002","31","41.8","2036","45","36","2685.6000000000045","35","41.8","2031","50","36","2495.8000000000015","30","41.8","2130","46","36","3027.60000000001","34","41.8"
,"2181","49","37","2578.400000000003","31","41.8","2114","45","37","2744.6000000000054","35","41.8","2079","50","37","2554.8000000000025","30","41.8","2226","46","37","3157.400000000012","34","41.8"
,"2181","47","37","2578.400000000003","33","41.8","2114","44","37","2744.6000000000054","36","41.8","2079","49","37","2554.8000000000025","31","41.8","2226","45","37","3157.400000000012","35","41.8"
,"2475","47","37","2920.600000000008","33","41.8","2373","44","37","3086.8000000000106","36","41.8","2338","49","37","2885.2000000000075","31","41.8","2485","45","37","3523.2000000000176","35","41.8"
,"2510","47","37","2967.800000000009","33","41.8","2422","44","37","3169.400000000012","36","41.8","2422","49","37","2920.600000000008","31","41.8","2541","45","37","3570.4000000000183","35","41.8"
,"2580","47","37","3015.0000000000095","33","41.8","2506","44","37","3240.200000000013","36","41.8","2471","49","37","2991.400000000009","31","41.8","2653","45","37","3700.2000000000203","35","41.8"
,"2650","47","37","3144.8000000000116","33","41.8","2555","44","37","3322.8000000000143","36","41.8","2520","49","37","3097.600000000011","31","41.8","2688","45","37","3782.8000000000216","35","41.8"
,"2797","47","37","3274.6000000000136","33","41.8","2702","44","37","3464.4000000000165","36","41.8","2667","49","37","3239.200000000013","31","41.8","2835","45","37","3971.6000000000245","35","41.8"
,"2797","47","37","3274.6000000000136","33","41.8","2702","44","37","3464.4000000000165","36","41.8","2667","49","37","3239.200000000013","31","41.8","2835","45","37","3971.6000000000245","35","41.8"
,"3049","47","37","3581.4000000000183","33","41.8","2947","44","37","3818.400000000022","36","41.8","2912","49","37","3534.2000000000176","31","41.8","3115","45","37","4325.6000000000295","35","41.8"
,"3049","47","37","3581.4000000000183","33","41.8","2947","44","37","3818.400000000022","36","41.8","2912","49","37","3534.2000000000176","31","41.8","3115","45","37","4325.6000000000295","35","41.8"
,"3196","47","37","3711.2000000000203","33","41.8","3094","44","37","3960.000000000024","36","41.8","3059","49","37","3675.8000000000197","31","41.8","3262","45","37","4514.400000000032","35","41.8"
,"3266","47","38","3841.0000000000223","33","41.8","3143","44","38","4042.6000000000254","36","41.8","3108","49","38","3782.0000000000214","31","41.8","3297","45","38","4597.000000000034","35","41.8"
,"3346","44","38","3888.200000000023","36","41.8","3239","41","38","4113.400000000026","39","41.8","3164","47","38","3852.8000000000225","33","41.8","3425","44","38","4726.800000000036","36","41.8"
