"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S3_S2_price_2"
"03/23/2023 16:40:02:487 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"distance-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","244345.60000002905","40","42","239670.20000000636","40","41.6","212361.20000001445","38","40","272528.2000000132","42","42","236443.599999971","38","40.8","260590.60000001782","42","42","250954.8000000318","40","42","255282.8000000023","40","41.6"
"[min]","0","33","36","0","27","37.6","0","38","36","0","30","40","0","38","36","0","33","39","0","37","36","0","25","37.6"
"[max]","244345.60000002905","53","42.4","239670.20000000636","40","42.2","212361.20000001445","50","40.6","272528.2000000132","42","42.8","236443.599999971","46","41.4","260590.60000001782","42","42.8","250954.8000000318","55","42.4","255282.8000000023","40","42.2"
"[mean]","116465.58230000314","40.2195","41.09389999999903","112384.8257000018","39.0575","41.15910000000012","102466.60980000075","39.6345","39.62949999999953","132905.83149999616","40.176","42.075899999999685","112486.77309999628","39.6415","40.17830000000045","127395.6081999995","39.82","41.82949999999936","117819.35850000399","40.6445","41.09389999999903","120268.75049999998","39.0485","41.15910000000012"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","53","36","0","27","42","0","50","36","0","30","42","0","46","36","0","34","42","0","55","36","0","25","42"
,"318","53","36.2","324","27","41.8","300","50","36.2","360","30","41.8","276","46","36.2","408","34","41.8","330","55","36.2","300","25","41.8"
,"318","53","36.2","324","27","41.8","300","48","36.2","360","32","41.8","276","46","36.2","408","34","41.8","330","53","36.2","300","27","41.8"
,"386.1999999999999","53","36.2","371.20000000000005","27","41.8","349.5999999999999","48","36.2","430.80000000000007","32","41.8","337.9999999999999","46","36.2","478.80000000000007","34","41.8","391.9999999999999","53","36.2","370.80000000000007","27","41.8"
,"454.39999999999975","53","36.2","430.2000000000001","27","41.8","423.9999999999998","48","36.2","489.80000000000007","32","41.8","375.1999999999998","46","36.2","584.9999999999997","34","41.8","447.7999999999998","53","36.2","453.40000000000015","27","41.8"
,"584.6000000000005","53","36.2","536.4","27","41.8","523.1999999999999","48","36.2","631.3999999999995","32","41.8","492.99999999999966","46","36.2","773.7999999999989","34","41.8","578.0000000000005","53","36.2","547.8","27","41.8"
,"615.6000000000007","53","36.2","607.1999999999997","27","41.8","572.8000000000003","48","36.2","725.7999999999992","32","41.8","548.8000000000001","46","36.2","832.7999999999987","34","41.8","664.8000000000011","53","36.2","642.1999999999996","27","41.8"
,"851.2000000000024","53","36.2","795.999999999999","27","41.8","771.2000000000018","48","36.2","938.1999999999983","32","41.8","722.4000000000013","46","36.2","1056.999999999998","34","41.8","838.4000000000024","53","36.2","842.7999999999988","27","41.8"
,"851.2000000000024","53","36.2","795.999999999999","27","41.8","771.2000000000018","48","36.2","938.1999999999983","32","41.8","722.4000000000013","46","36.2","1056.999999999998","34","41.8","838.4000000000024","53","36.2","842.7999999999988","27","41.8"
,"981.4000000000034","53","36.2","902.1999999999986","27","41.8","870.4000000000025","48","36.2","1079.799999999998","32","41.8","840.2000000000022","46","36.2","1245.7999999999972","34","41.8","968.6000000000033","53","36.2","937.1999999999985","27","41.8"
,"1049.6000000000038","53","36.2","961.1999999999983","27","41.8","944.800000000003","48","36.2","1138.7999999999977","32","41.8","877.4000000000025","46","36.2","1351.9999999999968","34","41.8","1024.4000000000037","53","36.2","1019.7999999999981","27","41.8"
,"1148.8000000000045","53","36.2","1079.199999999998","27","41.8","1044.0000000000036","48","36.2","1303.999999999997","32","41.8","995.2000000000032","46","36.2","1481.7999999999963","34","41.8","1173.2000000000048","53","36.2","1184.9999999999975","27","41.8"
,"1148.8000000000045","53","36","1079.199999999998","27","41.6","1044.0000000000036","48","36","1303.999999999997","32","41.6","995.2000000000032","46","36","1481.7999999999963","34","41.6","1173.2000000000048","53","36","1184.9999999999975","27","41.6"
,"1436.8000000000045","53","36","1322.799999999996","27","41.6","1284.0000000000036","48","36","1582.3999999999949","32","41.6","1217.2000000000032","46","36","1818.1999999999937","34","41.6","1407.2000000000048","53","36","1405.3999999999958","27","41.6"
,"1436.8000000000045","53","36","1322.799999999996","27","41.6","1284.0000000000036","48","36","1582.3999999999949","32","41.6","1217.2000000000032","46","36","1818.1999999999937","34","41.6","1407.2000000000048","53","36","1405.3999999999958","27","41.6"
,"1502.8000000000045","53","36","1369.1999999999957","27","41.6","1332.0000000000036","48","36","1651.9999999999943","32","41.6","1277.2000000000032","46","36","1887.7999999999931","34","41.6","1467.2000000000048","53","36","1474.9999999999952","27","41.6"
,"1598.8000000000045","53","36","1496.7999999999947","27","41.6","1452.0000000000036","48","36","1802.7999999999931","32","41.6","1367.2000000000032","46","36","2050.199999999992","34","41.6","1605.2000000000048","53","36","1648.9999999999939","27","41.6"
,"1724.8000000000045","53","36","1601.199999999994","27","41.6","1548.0000000000036","48","36","1941.999999999992","32","41.6","1481.2000000000032","46","36","2235.7999999999906","34","41.6","1731.2000000000048","53","36","1741.7999999999931","27","41.6"
,"1724.8000000000045","53","36","1601.199999999994","27","41.6","1548.0000000000036","48","36","1941.999999999992","32","41.6","1481.2000000000032","46","36","2235.7999999999906","34","41.6","1731.2000000000048","53","36","1741.7999999999931","27","41.6"
,"1952.8000000000045","53","36","1786.7999999999925","27","41.6","1740.0000000000036","48","36","2150.7999999999906","32","41.6","1649.2000000000032","46","36","2456.199999999989","34","41.6","1899.2000000000048","53","36","1938.9999999999916","27","41.6"
,"1952.8000000000045","53","36","1786.7999999999925","27","41.6","1740.0000000000036","48","36","2150.7999999999906","32","41.6","1649.2000000000032","46","36","2456.199999999989","34","41.6","1899.2000000000048","53","36","1938.9999999999916","27","41.6"
,"2108.8000000000047","53","36","1960.799999999991","27","41.6","1884.0000000000036","48","36","2382.799999999989","32","41.6","1817.2000000000032","46","36","2699.799999999987","34","41.6","2109.200000000005","53","36","2124.5999999999904","27","41.6"
,"2174.8000000000047","53","36","2018.7999999999906","27","41.6","1956.0000000000036","48","36","2440.7999999999884","32","41.6","1853.2000000000032","46","36","2804.199999999986","34","41.6","2163.200000000005","53","36","2205.7999999999897","27","41.6"
,"2240.8000000000047","53","36.2","2065.1999999999903","27","41.4","2004.0000000000036","48","36.2","2510.399999999988","32","41.4","1913.2000000000032","46","36.2","2873.7999999999856","34","41.4","2223.200000000005","53","36.2","2275.399999999989","27","41.4"
,"2240.8000000000047","51","36.2","2065.1999999999903","29","41.4","2004.0000000000036","46","36.2","2510.399999999988","34","41.4","1913.2000000000032","45","36.2","2873.7999999999856","35","41.4","2223.200000000005","51","36.2","2275.399999999989","29","41.4"
,"2532.199999999996","51","36.2","2315.9999999999923","29","41.4","2239.599999999997","46","36.2","2806.79999999999","34","41.4","2142.6000000000004","45","36.2","3204.3999999999883","35","41.4","2458.799999999998","51","36.2","2503.399999999991","29","41.4"
,"2556.9999999999955","51","36.2","2395.799999999993","29","41.4","2289.1999999999957","46","36.2","2897.999999999991","34","41.4","2192.199999999999","45","36.2","3272.799999999989","35","41.4","2539.3999999999955","51","36.2","2605.999999999992","29","41.4"
