BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retailers_model_new.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4_S3_price_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/22/2023 07:41:21:359 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17,17,-17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
retailer-1-price-change,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,
initial-number-customers,80,,,,,,80,,,,,,80,,,,,,80,,,,,,80,,,,,,80,,,,,,80,,,,,,80,,,,,
set-run-day,2000,,,,,,2000,,,,,,2000,,,,,,2000,,,,,,2000,,,,,,2000,,,,,,2000,,,,,,2000,,,,,
set-evaluation-period-range,15,,,,,,15,,,,,,15,,,,,,15,,,,,,15,,,,,,15,,,,,,15,,,,,,15,,,,,
retailer-1-evaluation-period,60,,,,,,60,,,,,,60,,,,,,60,,,,,,60,,,,,,60,,,,,,60,,,,,,60,,,,,
retailer-1-initial-price,42,,,,,,42,,,,,,42,,,,,,42,,,,,,42,,,,,,42,,,,,,42,,,,,,42,,,,,
randomise-budget?,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,
price-fraction,10,,,,,,10,,,,,,10,,,,,,10,,,,,,10,,,,,,10,,,,,,10,,,,,,10,,,,,
initial-number-retailers,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,
retailer-0-price-change,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,
distance-fraction,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,
randomise-buying-frequency?,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,
Experiment,2-retailer-even-space,,,,,,2-retailer-even-space,,,,,,2-retailer-even-space,,,,,,2-retailer-even-space,,,,,,2-retailer-even-space,,,,,,2-retailer-even-space,,,,,,2-retailer-even-space,,,,,,2-retailer-even-space,,,,,
retailer-0-evaluation-period,10,,,,,,10,,,,,,10,,,,,,10,,,,,,10,,,,,,10,,,,,,10,,,,,,10,,,,,
unit-cost,30,,,,,,30,,,,,,30,,,,,,30,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,
randomise-evaluation-period?,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,30,,,,,,30,,,,,,30,,,,,,30,,,,,
show-shop-id?,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,
set-buying-frequency,7,,,,,,7,,,,,,7,,,,,,7,,,,,,6,,,,,,6,,,,,,6,,,,,,6,,,,,
retailer-0-initial-price,36,,,,,,36,,,,,,36,,,,,,36,,,,,,36,,,,,,36,,,,,,36,,,,,,36,,,,,
show-chosen-shop?,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,
[reporter],[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1
[final],116556,50,31,105332,30,32,102389,48,31,94978,32,32,118363,53,31,87388,27,32,130428,45,31,105615,35,31,133458,51,31,94588,29,31,116774,43,31,115008,37,31,111336,41,31,116727,39,31,119249,44,31,106711,36,31
[min],0,28,31,0,0,31,0,24,31,0,0,31,0,26,31,0,0,31,0,17,31,0,0,31,0,11,31,0,0,31,0,16,31,0,0,31,0,6,31,0,0,31,0,14,31,0,0,31
[max],116556,80,40,105332,52,42,102389,80,40,94978,56,42,118363,80,40,87388,54,42,130428,80,41,105615,63,42,133458,80,41,94588,69,42,116774,80,41,115008,64,42,111336,80,41,116727,74,42,119249,80,41,106711,66,42
[mean],80251.5905,45.012,34.8635,67081.221,34.988,35.5125,70539.43,44.4775,34.8635,60437.701,35.5225,35.5125,81074.3135,47.0735,34.8635,55669.44,32.9265,35.5125,86213.7945,42.7495,35.9195,68310.964,37.2505,35.7025,91917.749,45.333,35.0065,63868.792,34.667,34.818,80663.3735,40.8645,35.0065,77652.953,39.1355,34.818,77121.163,38.3525,35.0065,78758.1935,41.6475,34.818,82293.4595,41.705,35.0065,72035.704,38.295,34.818
[steps],1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1
,0,80,36,0,0,42,0,80,36,0,0,42,0,80,36,0,0,42,0,80,36,0,0,42,0,80,36,0,0,42,0,80,36,0,0,42,0,80,36,0,0,42,0,80,36,0,0,42
,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41
,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41,480,80,37,0,0,41
,585,80,37,0,0,41,550,80,37,0,0,41,543,80,37,0,0,41,564,80,37,0,0,41,606,80,37,0,0,41,606,80,37,0,0,41,613,80,37,0,0,41,606,80,37,0,0,41
,676,80,37,0,0,41,620,80,37,0,0,41,676,80,37,0,0,41,662,80,37,0,0,41,711,80,37,0,0,41,725,80,37,0,0,41,718,80,37,0,0,41,711,80,37,0,0,41
,872,80,37,0,0,41,788,80,37,0,0,41,823,80,37,0,0,41,823,80,37,0,0,41,970,80,37,0,0,41,984,80,37,0,0,41,949,80,37,0,0,41,949,80,37,0,0,41
,998,80,37,0,0,41,872,80,37,0,0,41,907,80,37,0,0,41,921,80,37,0,0,41,1061,80,37,0,0,41,1082,80,37,0,0,41,1061,80,37,0,0,41,1040,80,37,0,0,41
,1278,80,37,0,0,41,1138,80,37,0,0,41,1173,80,37,0,0,41,1201,80,37,0,0,41,1397,80,37,0,0,41,1411,80,37,0,0,41,1411,80,37,0,0,41,1397,80,37,0,0,41
,1341,80,37,0,0,41,1250,80,37,0,0,41,1299,80,37,0,0,41,1306,80,37,0,0,41,1397,80,37,0,0,41,1411,80,37,0,0,41,1411,80,37,0,0,41,1397,80,37,0,0,41
,1537,80,37,0,0,41,1418,80,37,0,0,41,1446,80,37,0,0,41,1467,80,37,0,0,41,1656,80,37,0,0,41,1670,80,37,0,0,41,1642,80,37,0,0,41,1635,80,37,0,0,41
,1628,80,37,0,0,41,1488,80,37,0,0,41,1579,80,37,0,0,41,1565,80,37,0,0,41,1761,80,37,0,0,41,1789,80,37,0,0,41,1747,80,37,0,0,41,1740,80,37,0,0,41
,1859,80,37,0,0,41,1642,80,37,0,0,41,1726,80,37,0,0,41,1747,80,37,0,0,41,1978,80,37,0,0,41,2013,80,37,0,0,41,1992,80,37,0,0,41,1957,80,37,0,0,41
,1859,80,36,0,0,41,1642,80,36,0,0,41,1726,80,36,0,0,41,1747,80,36,0,0,41,1978,80,36,0,0,41,2013,80,36,0,0,41,1992,80,36,0,0,41,1957,80,36,0,0,41
,2177,80,36,0,0,41,1954,80,36,0,0,41,2026,80,36,0,0,41,2053,80,36,0,0,41,2380,80,36,0,0,41,2409,80,36,0,0,41,2376,80,36,0,0,41,2359,80,36,0,0,41
,2177,80,36,0,0,41,1954,80,36,0,0,41,2026,80,36,0,0,41,2053,80,36,0,0,41,2380,80,36,0,0,41,2409,80,36,0,0,41,2376,80,36,0,0,41,2359,80,36,0,0,41
,2321,80,36,0,0,41,2110,80,36,0,0,41,2188,80,36,0,0,41,2215,80,36,0,0,41,2488,80,36,0,0,41,2517,80,36,0,0,41,2490,80,36,0,0,41,2467,80,36,0,0,41
,2507,80,36,0,0,41,2242,80,36,0,0,41,2374,80,36,0,0,41,2383,80,36,0,0,41,2656,80,36,0,0,41,2703,80,36,0,0,41,2676,80,36,0,0,41,2635,80,36,0,0,41
,2675,80,36,0,0,41,2386,80,36,0,0,41,2500,80,36,0,0,41,2521,80,36,0,0,41,2878,80,36,0,0,41,2925,80,36,0,0,41,2874,80,36,0,0,41,2839,80,36,0,0,41
,2675,80,36,0,0,41,2386,80,36,0,0,41,2500,80,36,0,0,41,2521,80,36,0,0,41,2878,80,36,0,0,41,2925,80,36,0,0,41,2874,80,36,0,0,41,2839,80,36,0,0,41
,2915,80,36,0,0,41,2614,80,36,0,0,41,2728,80,36,0,0,41,2761,80,36,0,0,41,3166,80,36,0,0,41,3207,80,36,0,0,41,3174,80,36,0,0,41,3145,80,36,0,0,41
,2915,80,36,0,0,41,2614,80,36,0,0,41,2728,80,36,0,0,41,2761,80,36,0,0,41,3166,80,36,0,0,41,3207,80,36,0,0,41,3174,80,36,0,0,41,3145,80,36,0,0,41
,3191,80,36,0,0,41,2830,80,36,0,0,41,2926,80,36,0,0,41,2983,80,36,0,0,41,3466,80,36,0,0,41,3513,80,36,0,0,41,3468,80,36,0,0,41,3427,80,36,0,0,41
,3323,80,36,0,0,41,2986,80,36,0,0,41,3148,80,36,0,0,41,3157,80,36,0,0,41,3556,80,36,0,0,41,3615,80,36,0,0,41,3558,80,36,0,0,41,3517,80,36,0,0,41
,3413,80,37,0,0,41,3046,80,37,0,0,41,3202,80,37,0,0,41,3229,80,37,0,0,41,3664,80,37,0,0,41,3723,80,37,0,0,41,3672,80,37,0,0,41,3625,80,37,0,0,41
,3413,80,37,0,0,41,3046,80,37,0,0,41,3202,80,37,0,0,41,3229,80,37,0,0,41,3664,80,37,0,0,41,3723,80,37,0,0,41,3672,80,37,0,0,41,3625,80,37,0,0,41
,3784,80,37,0,0,41,3410,80,37,0,0,41,3552,80,37,0,0,41,3586,80,37,0,0,41,4133,80,37,0,0,41,4185,80,37,0,0,41,4120,80,37,0,0,41,4094,80,37,0,0,41
,3910,80,37,0,0,41,3494,80,37,0,0,41,3636,80,37,0,0,41,3684,80,37,0,0,41,4224,80,37,0,0,41,4283,80,37,0,0,41,4232,80,37,0,0,41,4185,80,37,0,0,41
,4015,80,37,0,0,41,3564,80,37,0,0,41,3699,80,37,0,0,41,3768,80,37,0,0,41,4350,80,37,0,0,41,4409,80,37,0,0,41,4365,80,37,0,0,41,4311,80,37,0,0,41
,4106,80,37,0,0,41,3634,80,37,0,0,41,3832,80,37,0,0,41,3866,80,37,0,0,41,4455,80,37,0,0,41,4528,80,37,0,0,41,4470,80,37,0,0,41,4416,80,37,0,0,41
,4365,80,37,0,0,41,3914,80,37,0,0,41,4105,80,37,0,0,41,4132,80,37,0,0,41,4714,80,37,0,0,41,4787,80,37,0,0,41,4701,80,37,0,0,41,4654,80,37,0,0,41
,4365,80,37,0,0,41,3914,80,37,0,0,41,4105,80,37,0,0,41,4132,80,37,0,0,41,4714,80,37,0,0,41,4787,80,37,0,0,41,4701,80,37,0,0,41,4654,80,37,0,0,41
,4771,80,37,0,0,41,4264,80,37,0,0,41,4455,80,37,0,0,41,4510,80,37,0,0,41,5141,80,37,0,0,41,5214,80,37,0,0,41,5163,80,37,0,0,41,5102,80,37,0,0,41
