"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"S5_S2_D_6"
"03/22/2023 13:05:56:381 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4"
"retailer-1-price-change","0.2",,,,,,"0.2",,,,,,"0.2",,,,,,"0.2",,,,,
"initial-number-customers","80",,,,,,"80",,,,,,"80",,,,,,"80",,,,,
"set-run-day","2000",,,,,,"2000",,,,,,"2000",,,,,,"2000",,,,,
"set-evaluation-period-range","15",,,,,,"15",,,,,,"15",,,,,,"15",,,,,
"retailer-1-evaluation-period","10",,,,,,"10",,,,,,"10",,,,,,"10",,,,,
"retailer-1-initial-price","42",,,,,,"42",,,,,,"42",,,,,,"42",,,,,
"randomise-budget?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"price-fraction","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"initial-number-retailers","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"retailer-0-price-change","2",,,,,,"2",,,,,,"2",,,,,,"2",,,,,
"distance-fraction","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"randomise-buying-frequency?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"Experiment","2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,,"2-retailer-even-space",,,,,
"retailer-0-evaluation-period","60",,,,,,"60",,,,,,"60",,,,,,"60",,,,,
"randomise-evaluation-period?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"unit-cost","30",,,,,,"30",,,,,,"30",,,,,,"30",,,,,
"show-shop-id?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"set-buying-frequency","6",,,,,,"6",,,,,,"6",,,,,,"6",,,,,
"retailer-0-initial-price","36",,,,,,"36",,,,,,"36",,,,,,"36",,,,,
"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
"[final]","153924","39","38","287726.60000005073","41","42","250022","40","42","74595.19999999698","40","30.2","297258","49","42","35637.99999996497","31","30.2","42530","38","32","300540.8000000498","42","42"
"[min]","0","39","36","0","39","41.8","0","22","36","0","36","30.2","0","30","36","0","29","30.2","0","37","32","0","37","42"
"[max]","153924","40","38","287726.60000005073","41","42.4","250022","44","46","74595.19999999698","40","42","297258","51","46","35637.99999996497","31","42","42530","38","36","300540.8000000498","43","42.8"
"[mean]","77047.964","39.489","37.023","143928.09220000534","40.163","42.18809999999906","122357.339","40.0885","41.753","52468.15949999966","39.164","33.15059999999987","145239.413","47.913","42.485","30375.729699988242","30.5605","32.0890999999986","21943.76","37.999","32.063","150400.80700000827","41.4455","42.212299999999246"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"0","40","36","0","40","42","0","44","36","0","36","42","0","51","36","0","29","42","0","37","36","0","43","42"
,"240","40","38","480","40","42.2","264","44","38","432","36","41.8","306","51","38","348","29","41.8","222","37","34","516","43","42.2"
,"240","39","38","480","41","42.2","264","44","38","432","36","41.8","306","51","38","348","29","41.8","222","38","34","516","42","42.2"
,"288","39","38","565.4000000000003","40","42.2","336","44","38","514.5999999999999","36","41.8","386","51","38","395.20000000000005","29","41.8","246","38","34","650.2000000000005","42","42.2"
,"352","39","38","699.6000000000008","41","42.2","392","44","38","644.3999999999994","36","41.8","450","51","38","477.8000000000001","29","41.8","266","38","34","735.6000000000008","42","42.2"
,"480","39","38","894.8000000000015","40","42.2","560","44","38","821.3999999999987","36","41.8","602","51","38","642.9999999999995","29","41.8","334","38","34","979.6000000000017","41","42.2"
,"520","39","38","980.2000000000019","41","42.2","592","44","38","892.1999999999985","36","41.8","690","51","38","701.9999999999993","29","41.8","358","38","34","1040.600000000002","41","42.2"
,"712","39","38","1273.000000000003","40","42.2","816","44","38","1151.7999999999975","36","41.8","938","51","38","867.1999999999987","29","41.8","442","38","34","1357.8000000000031","42","42.2"
,"712","39","38","1273.000000000003","41","42.2","816","44","38","1151.7999999999975","36","41.8","938","51","38","867.1999999999987","29","41.8","442","38","34","1357.8000000000031","42","42.2"
,"840","39","38","1468.2000000000037","40","42.2","984","44","38","1328.7999999999968","36","41.8","1090","51","38","1032.399999999998","29","41.8","510","38","34","1601.800000000004","41","42.2"
,"904","39","38","1602.4000000000042","41","42.2","1040","44","38","1458.5999999999963","36","41.8","1154","51","38","1114.9999999999977","29","41.8","530","38","34","1687.2000000000044","42","42.2"
,"992","39","38","1773.2000000000048","40","42.2","1144","44","38","1611.9999999999957","36","41.8","1322","51","38","1221.1999999999973","29","41.8","578","38","34","1882.400000000005","41","42.2"
,"992","39","38","1773.2000000000048","41","42","1144","44","38","1611.9999999999957","36","41.6","1322","51","38","1221.1999999999973","29","41.6","578","38","34","1882.400000000005","42","42"
,"1264","39","38","2181.200000000005","41","42","1464","44","38","1959.999999999993","36","41.6","1642","51","38","1499.5999999999951","29","41.6","706","38","34","2314.400000000005","42","42"
,"1264","39","38","2181.200000000005","41","42","1464","44","38","1959.999999999993","36","41.6","1642","51","38","1499.5999999999951","29","41.6","706","38","34","2314.400000000005","42","42"
,"1312","39","38","2277.200000000005","41","42","1536","44","38","2041.1999999999925","36","41.6","1722","51","38","1545.9999999999948","29","41.6","730","38","34","2446.400000000005","42","42"
,"1416","39","38","2493.200000000005","41","42","1624","44","38","2238.399999999991","36","41.6","1874","51","38","1685.1999999999937","29","41.6","774","38","34","2602.400000000005","42","42"
,"1544","39","38","2697.200000000005","41","42","1792","44","38","2412.3999999999896","36","41.6","2026","51","38","1847.5999999999924","29","41.6","842","38","34","2854.400000000005","42","42"
,"1544","39","38","2697.200000000005","41","42","1792","44","38","2412.3999999999896","36","41.6","2026","51","38","1847.5999999999924","29","41.6","842","38","34","2854.400000000005","42","42"
,"1736","39","38","2997.200000000005","41","42","2016","44","38","2667.5999999999876","36","41.6","2274","51","38","2009.9999999999911","29","41.6","926","38","34","3166.400000000005","42","42"
,"1736","39","38","2997.200000000005","41","42","2016","44","38","2667.5999999999876","36","41.6","2274","51","38","2009.9999999999911","29","41.6","926","38","34","3166.400000000005","42","42"
,"1904","39","38","3285.200000000005","41","42","2216","44","38","2911.1999999999857","36","41.6","2514","51","38","2230.3999999999896","29","41.6","1018","38","34","3490.400000000005","42","42"
,"1968","39","38","3417.200000000005","41","42","2272","44","38","3038.7999999999847","36","41.6","2578","51","38","2311.599999999989","29","41.6","1038","38","34","3574.400000000005","42","42"
,"2016","39","38","3513.200000000005","41","42.2","2344","44","38","3119.999999999984","36","41.4","2658","51","38","2357.9999999999886","29","41.4","1062","38","34","3706.400000000005","42","42.2"
,"2016","39","38","3513.200000000005","41","42.2","2344","44","38","3119.999999999984","36","41.4","2658","51","38","2357.9999999999886","29","41.4","1062","38","34","3706.400000000005","42","42.2"
,"2288","39","38","3915.799999999999","40","42.2","2664","44","38","3461.999999999987","36","41.4","2978","51","38","2631.599999999991","29","41.4","1190","38","34","4133.399999999999","41","42.2"
,"2328","39","38","4001.1999999999975","41","42.2","2696","44","38","3530.3999999999874","36","41.4","3066","51","38","2688.5999999999913","29","41.4","1214","38","34","4194.399999999998","41","42.2"
,"2376","39","38","4086.5999999999967","40","42.2","2768","44","38","3610.199999999988","36","41.4","3146","51","38","2734.1999999999916","29","41.4","1238","38","34","4328.599999999996","42","42.2"
,"2440","39","38","4220.799999999995","41","42.2","2824","44","38","3735.599999999989","36","41.4","3210","51","38","2813.9999999999923","29","41.4","1258","38","34","4413.9999999999945","42","42.2"
,"2568","39","38","4415.999999999992","40","42.2","2992","44","38","3906.5999999999904","36","41.4","3362","51","38","2973.5999999999935","29","41.4","1326","38","34","4657.999999999991","41","42.2"
,"2568","39","38","4415.999999999992","41","42.2","2992","44","38","3906.5999999999904","36","41.4","3362","51","38","2973.5999999999935","29","41.4","1326","38","34","4657.999999999991","42","42.2"
,"2800","39","38","4794.199999999986","40","42.2","3248","44","38","4225.7999999999865","36","41.4","3698","51","38","3190.1999999999953","29","41.4","1434","38","34","5036.199999999985","41","42.2"
,"2800","39","38","4794.199999999986","41","42.2","3248","44","38","4225.7999999999865","36","41.4","3698","51","38","3190.1999999999953","29","41.4","1434","38","34","5036.199999999985","42","42.2"
,"2928","39","38","4989.399999999983","40","42.2","3416","44","38","4396.799999999981","36","41.4","3850","51","38","3349.7999999999965","29","41.4","1502","38","34","5280.199999999982","41","42.2"
,"2992","39","38","5123.599999999981","41","42.4","3472","44","38","4522.199999999977","36","41.2","3914","51","38","3429.599999999997","29","41.2","1522","38","34","5365.59999999998","42","42.4"
,"3040","39","38","5210.399999999979","40","42.4","3544","44","38","4600.599999999976","36","41.2","3994","51","38","3474.3999999999965","29","41.2","1546","38","34","5489.599999999977","41","42.4"
