"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"perturbation"
"03/24/2023 05:43:43:248 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4"
"initial-number-customers","80",,,,,,,,,"80",,,,,,,,,"80",,,,,,,,,"80",,,,,,,,
"set-run-day","2000",,,,,,,,,"2000",,,,,,,,,"2000",,,,,,,,,"2000",,,,,,,,
"set-evaluation-period-range","15",,,,,,,,,"15",,,,,,,,,"15",,,,,,,,,"15",,,,,,,,
"randomise-budget?","true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,
"price-fraction","1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,
"initial-number-retailers","2",,,,,,,,,"2",,,,,,,,,"2",,,,,,,,,"2",,,,,,,,
"distance-fraction","1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,
"randomise-buying-frequency?","true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,
"Experiment","2-retailer-even-space",,,,,,,,,"2-retailer-even-space",,,,,,,,,"2-retailer-even-space",,,,,,,,,"2-retailer-even-space",,,,,,,,
"randomise-evaluation-period?","true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,
"unit-cost","30",,,,,,,,,"30",,,,,,,,,"30",,,,,,,,,"30",,,,,,,,
"show-shop-id?","true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,
"set-buying-frequency","7",,,,,,,,,"7",,,,,,,,,"7",,,,,,,,,"7",,,,,,,,
"show-chosen-shop?","true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,,"true",,,,,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer third-retailer-id","[ market-share ] of retailer third-retailer-id","[ price ] of retailer third-retailer-id","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer third-retailer-id","[ market-share ] of retailer third-retailer-id","[ price ] of retailer third-retailer-id","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer third-retailer-id","[ market-share ] of retailer third-retailer-id","[ price ] of retailer third-retailer-id","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer third-retailer-id","[ market-share ] of retailer third-retailer-id","[ price ] of retailer third-retailer-id"
"[final]","188928.79185158966","26","44.330119497063876","218495.33638507655","26","41.78182812074901","74810.95860988263","26","42.33987634983308","192972.3024141818","29","42.3430915617475","159173.39218109616","25","39.45196403444578","67455.05818201881","26","39.87936230137583","193259.57663947545","24","40.316390558590705","191750.80389364692","25","44.24402610465376","82332.54443967668","23","42.64941109051286","154917.11841591322","25","37.02087837309467","171203.53404869253","29","42.085524179799485","60007.582034424515","26","38.966768284586884"
"[min]","0","19","42.031182365824456","0","19","40.37598892827924","0","0","39.87411144898546","0","8","35.832627937124506","0","10","35.80234999577337","0","0","32.52546120042518","0","14","39.49779485309563","0","13","34.08326767600962","0","0","39.49779485309563","0","5","33.23662699494498","0","7","34.075304382490245","0","0","31.54360595244928"
"[max]","188928.79185158966","42","46.60557718147584","218495.33638507655","42","43.70001631784258","109885.62126904541","42","46.60557718147584","192972.3024141818","43","43.89442956249794","159173.39218109616","41","41.19519725103179","123701.91601887","62","43.46369019944207","193259.57663947545","40","44.64181365821035","191750.80389364692","60","46.49656757707393","112933.57397361194","41","45.446919019601076","154917.11841591322","42","43.207752934241334","171203.53404869253","43","43.530149266087676","105774.94985111062","68","43.207752934241334"
"[mean]","102919.60539388249","32.134","44.770647572255236","116355.14143717103","32.3345","42.42133221209675","46909.85920263917","31.3045","43.888394737265","107972.93205997701","33.5525","41.959273053249305","88990.83621194807","30.8465","39.04518064494411","46101.2086613154","35.849","40.22630284723706","102734.59353981502","28.758","41.32829555360833","105878.23283956033","35.0835","43.68542767457033","46999.150050029595","29.709","42.46912403233428","88358.33398944036","30.664","39.13679270032164","90529.8522629189","33.9955","42.078990803510315","38340.590179087645","33.211","39.72341046082299"
"[steps]","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999"

"[all run data]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer third-retailer-id","[ market-share ] of retailer third-retailer-id","[ price ] of retailer third-retailer-id","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer third-retailer-id","[ market-share ] of retailer third-retailer-id","[ price ] of retailer third-retailer-id","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer third-retailer-id","[ market-share ] of retailer third-retailer-id","[ price ] of retailer third-retailer-id","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer third-retailer-id","[ market-share ] of retailer third-retailer-id","[ price ] of retailer third-retailer-id"
,"0","41","42.031182365824456","0","39","40.72932439737072","0","41","42.031182365824456","0","42","38.6199408329081","0","38","35.94637522519274","0","42","38.6199408329081","0","20","44.64181365821035","0","60","34.08326767600962","0","20","44.64181365821035","0","37","33.96383038044504","0","43","34.075304382490245","0","37","33.96383038044504"
,"493.27847699880294","41","42.14520387245922","418.4436514974576","39","40.66071148534732","493.27847699880294","41","42.14520387245922","362.0375149821406","42","39.165134615349665","225.9622585573244","38","35.80234999577337","362.0375149821406","42","39.165134615349665","204.98539121494503","14","44.46373553556143","244.9960605605774","60","34.38884531539289","204.98539121494503","14","44.46373553556143","146.66172407646664","37","33.653367484982745","175.23808844708026","43","34.77090295094139","146.66172407646664","37","33.653367484982745"
,"493.27847699880294","41","42.14520387245922","418.4436514974576","39","40.66071148534732","493.27847699880294","41","42.14520387245922","362.0375149821406","41","39.165134615349665","225.9622585573244","39","35.80234999577337","362.0375149821406","41","39.165134615349665","204.98539121494503","20","44.46373553556143","244.9960605605774","60","34.38884531539289","204.98539121494503","20","44.46373553556143","146.66172407646664","38","33.653367484982745","175.23808844708026","42","34.77090295094139","146.66172407646664","38","33.653367484982745"
,"517.5688847437214","41","42.14520387245922","525.0507663509305","39","40.66071148534732","517.5688847437214","41","42.14520387245922","417.02832267423844","41","39.165134615349665","283.98575851505836","39","35.80234999577337","417.02832267423844","41","39.165134615349665","219.44912675050645","17","44.46373553556143","302.0510496606847","60","34.38884531539289","219.44912675050645","17","44.46373553556143","172.2352964713458","38","33.653367484982745","194.32170025084577","42","34.77090295094139","172.2352964713458","38","33.653367484982745"
,"663.3113312132318","41","42.14520387245922","578.354323777667","39","40.66071148534732","663.3113312132318","41","42.14520387245922","472.0191303663363","41","39.165134615349665","318.79985848969875","39","35.80234999577337","472.0191303663363","41","39.165134615349665","262.8403333571908","17","44.46373553556143","332.7729668684348","60","34.38884531539289","262.8403333571908","17","44.46373553556143","205.11560383619045","38","33.653367484982745","213.40531205461127","42","34.77090295094139","205.11560383619045","38","33.653367484982745"
,"784.7633699378239","41","42.14520387245922","716.9435730871818","39","40.66071148534732","784.7633699378239","41","42.14520387245922","563.6704765198327","41","39.165134615349665","411.6374584220731","39","35.80234999577337","563.6704765198327","41","39.165134615349665","320.6952754994366","17","44.46373553556143","433.71640912247085","60","34.38884531539289","320.6952754994366","17","44.46373553556143","248.9560136559835","38","33.653367484982745","270.6561474659078","42","34.77090295094139","248.9560136559835","38","33.653367484982745"
,"869.7797970450383","41","42.14520387245922","780.9078419992655","39","40.66071148534732","869.7797970450383","41","42.14520387245922","655.3218226733292","41","40.133877915875516","429.0445084093933","39","35.80234999577337","655.3218226733292","41","40.133877915875516","349.6227465705595","20","44.46373553556143","481.99370759179243","60","34.38884531539289","349.6227465705595","20","44.46373553556143","263.56948359591456","38","33.653367484982745","308.8233710734388","42","34.77090295094139","263.56948359591456","38","33.653367484982745"
,"1112.6838744942224","41","42.14520387245922","1004.7827831915588","39","40.66071148534732","1112.6838744942224","41","42.14520387245922","837.7316251590877","40","40.133877915875516","568.3009083079548","40","35.80234999577337","837.7316251590877","40","40.133877915875516","479.7963663906126","14","44.46373553556143","622.4367576843661","60","34.38884531539289","479.7963663906126","14","44.46373553556143","336.6368332955699","38","33.653367484982745","385.15781828850083","42","34.77090295094139","336.6368332955699","38","33.653367484982745"
,"1185.5550977289777","41","42.14520387245922","1100.7291865596844","39","40.66071148534732","1185.5550977289777","41","42.14520387245922","918.8026484860915","40","40.133877915875516","608.9173582783686","40","35.80234999577337","918.8026484860915","40","40.133877915875516","479.7963663906126","20","44.46373553556143","653.1586748921166","60","34.38884531539289","479.7963663906126","20","44.46373553556143","369.5171406604148","38","33.653367484982745","432.8668477979146","42","34.77090295094139","369.5171406604148","38","33.653367484982745"
,"1307.0071364535697","41","42.27190844360044","1239.3184358691992","39","40.55950412053035","1307.0071364535697","41","42.27190844360044","1010.0075497289708","40","40.133877915875516","707.5573082065164","40","35.80234999577337","1010.0075497289708","40","40.133877915875516","537.6513085328584","17","44.46373553556143","754.1021171461539","60","34.38884531539289","537.6513085328584","17","44.46373553556143","413.357550480208","38","33.653367484982745","490.1176832092111","42","34.77090295094139","413.357550480208","38","33.653367484982745"
,"1454.270037776776","41","42.27190844360044","1292.1159564718512","39","40.55950412053035","1454.270037776776","41","42.27190844360044","1070.8108172242237","40","40.133877915875516","742.3714081811568","40","35.80234999577337","1070.8108172242237","40","40.133877915875516","581.0425151395427","17","44.46373553556143","784.8240343539044","60","34.38884531539289","581.0425151395427","17","44.46373553556143","446.2378578450529","38","33.653367484982745","509.20129501297663","42","34.77090295094139","446.2378578450529","38","33.653367484982745"
,"1564.7172137691807","41","42.27190844360044","1461.0680224003374","39","40.55950412053035","1564.7172137691807","41","42.27190844360044","1222.8189859623558","40","40.178419771167114","823.6043081219843","40","35.80234999577337","1222.8189859623558","40","40.178419771167114","624.4337217462271","17","44.10713058902845","890.1563219233346","60","34.38884531539289","624.4337217462271","17","44.10713058902845","486.42490017986324","38","33.603786150159124","566.4521304242732","42","34.77090295094139","486.42490017986324","38","33.603786150159124"
,"1564.7172137691807","41","42.27190844360044","1461.0680224003374","39","40.55950412053035","1564.7172137691807","41","42.27190844360044","1222.8189859623558","40","40.178419771167114","823.6043081219843","40","35.80234999577337","1222.8189859623558","40","40.178419771167114","624.4337217462271","20","44.10713058902845","890.1563219233346","60","34.37035019721334","624.4337217462271","20","44.10713058902845","486.42490017986324","38","33.603786150159124","566.4521304242732","42","34.77090295094139","486.42490017986324","38","33.603786150159124"
