"BehaviorSpace results (NetLogo 6.3.0)"
"retailers_model_new.nlogo"
"low_low"
"03/14/2023 16:55:55:939 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"initial-number-customers","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"set-evaluation-period-range","20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",
"set-run-day","400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",,"400",
"retailer1-entry-price","23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",,"23",
"price-fraction","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"initial-number-retailers","2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",
"distance-fraction","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"randomise-buying-frequency?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"Experiment","2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",,"2-retailer-even-space",
